state,year,ph,conductivity,tds,ph_trend,conductivity_trend,tds_trend,ph_3yr_avg,tds_3yr_avg,GQI,Quality_Class
ANDHRA PRADESH,2012,7.335,210.5,134.72,0.0,0.0,0.0,7.335,134.72,91.1806,Good
ANDHRA PRADESH,2012,7.465,892.0,570.88,0.1299999999999999,681.5,436.15999999999997,7.4,352.8,38.64439999999999,Poor
ANDHRA PRADESH,2012,7.29,1631.0,1043.84,-0.17499999999999982,739.0,472.9599999999999,7.363333333333333,583.1466666666666,20.905199999999994,Poor
ANDHRA PRADESH,2012,8.31,1544.0,988.16,1.0200000000000005,-87.0,-55.67999999999995,7.688333333333333,867.6266666666666,49.076800000000006,Moderate
ANDHRA PRADESH,2012,6.955,1514.5,969.28,-1.3550000000000004,-29.5,-18.879999999999995,7.5183333333333335,1000.4266666666666,64.92940000000002,Moderate
ANDHRA PRADESH,2012,7.1,1604.0,1026.56,0.14499999999999957,89.5,57.27999999999997,7.455000000000001,994.6666666666666,57.57480000000002,Moderate
ANDHRA PRADESH,2012,7.075,1974.0,1263.3600000000001,-0.024999999999999467,370.0,236.80000000000018,7.043333333333333,1086.4,34.85279999999999,Poor
ANDHRA PRADESH,2012,7.75,889.0,568.96,0.6749999999999998,-1085.0,-694.4000000000001,7.308333333333334,952.96,70.7308,Good
ANDHRA PRADESH,2012,7.695,1451.0,928.64,-0.054999999999999716,562.0,359.67999999999995,7.506666666666667,920.32,29.353199999999994,Poor
ANDHRA PRADESH,2012,7.685,2250.0,1440.0,-0.010000000000000675,799.0,511.36,7.710000000000001,979.1999999999999,0.0,Poor
ANDHRA PRADESH,2012,7.425,1795.0,1148.8,-0.2599999999999998,-455.0,-291.20000000000005,7.601666666666667,1172.4799999999998,53.974000000000004,Moderate
ANDHRA PRADESH,2012,7.880000000000001,1128.5,722.24,0.45500000000000096,-666.5,-426.55999999999995,7.663333333333334,1103.68,63.7102,Moderate
ANDHRA PRADESH,2012,7.52,3615.5,2313.92,-0.3600000000000012,2487.0,1591.68,7.608333333333333,1394.9866666666667,0.0,Poor
ANDHRA PRADESH,2012,7.4399999999999995,1125.5,720.32,-0.08000000000000007,-2490.0,-1593.6,7.613333333333333,1252.16,69.0586,Moderate
ANDHRA PRADESH,2012,7.654999999999999,302.0,193.28,0.21499999999999986,-823.5,-527.0400000000001,7.538333333333333,1075.84,85.25440000000002,Good
ANDHRA PRADESH,2012,7.29,1110.0,710.4,-0.3649999999999993,808.0,517.12,7.461666666666666,541.3333333333334,29.196,Poor
ANDHRA PRADESH,2012,6.9,1925.0,1232.0,-0.3899999999999997,815.0,521.6,7.281666666666666,711.8933333333333,12.530000000000008,Poor
ANDHRA PRADESH,2012,7.095,3567.5,2283.2000000000003,0.1949999999999994,1642.5,1051.2000000000003,7.095,1408.5333333333335,0.0,Poor
ANDHRA PRADESH,2012,7.125,2748.5,1759.04,0.03000000000000025,-819.0,-524.1600000000003,7.04,1758.08,35.8342,Poor
ANDHRA PRADESH,2012,7.64,1819.5,1164.48,0.5149999999999997,-929.0,-594.56,7.286666666666666,1735.573333333333,50.835400000000014,Moderate
ANDHRA PRADESH,2012,7.705,927.0,593.28,0.06500000000000039,-892.5,-571.2,7.489999999999999,1172.2666666666664,70.4044,Good
ANDHRA PRADESH,2012,7.1,1645.0,1052.8,-0.6050000000000004,718.0,459.52,7.4816666666666665,936.8533333333331,23.958000000000013,Poor
ANDHRA PRADESH,2012,7.39,1529.0,978.5600000000001,0.29000000000000004,-116.0,-74.2399999999999,7.398333333333333,874.8799999999998,60.458800000000004,Moderate
ANDHRA PRADESH,2012,8.25,1075.0,688.0,0.8600000000000003,-454.0,-290.56000000000006,7.580000000000001,906.4533333333333,60.489999999999995,Moderate
ANDHRA PRADESH,2013,7.7,1534.0,981.76,-0.5499999999999998,459.0,293.76,7.78,882.7733333333332,32.75679999999999,Poor
ANDHRA PRADESH,2013,7.8,1536.0,983.04,0.09999999999999964,2.0,1.2799999999999727,7.916666666666667,884.2666666666665,55.27520000000001,Moderate
ANDHRA PRADESH,2013,6.8,1830.0,1171.2,-1.0,294.0,188.16000000000008,7.433333333333334,1045.3333333333333,40.58799999999999,Moderate
ANDHRA PRADESH,2013,8.5,771.0,493.44,1.7000000000000002,-1059.0,-677.76,7.7,882.5599999999998,64.42120000000001,Moderate
ANDHRA PRADESH,2013,8.0,1200.0,768.0,-0.5,429.0,274.56,7.766666666666667,810.8799999999998,38.332,Poor
ANDHRA PRADESH,2013,7.75,1050.0,672.0,-0.25,-150.0,-96.0,8.083333333333334,644.4799999999999,67.06,Moderate
ANDHRA PRADESH,2013,7.8,1100.0,704.0,0.04999999999999982,50.0,32.0,7.8500000000000005,714.6666666666665,62.720000000000006,Moderate
ANDHRA PRADESH,2013,7.9,1100.0,704.0,0.10000000000000053,0.0,0.0,7.816666666666666,693.3333333333331,64.11999999999999,Moderate
ANDHRA PRADESH,2013,7.2,1459.0,933.76,-0.7000000000000002,359.0,229.76,7.633333333333333,780.5866666666665,45.66679999999999,Moderate
ANDHRA PRADESH,2013,7.4,817.5,523.2,0.20000000000000018,-641.5,-410.55999999999995,7.5,720.3199999999998,76.56099999999999,Good
ANDHRA PRADESH,2013,7.0,248.0,158.72,-0.40000000000000036,-569.5,-364.48,7.2,538.5599999999998,94.34559999999999,Good
ANDHRA PRADESH,2013,6.9,1841.0,1178.24,-0.09999999999999964,1593.0,1019.52,7.1000000000000005,620.0533333333332,0.0,Poor
